objectid,census_tract,num_props,min_period,max_period,principal,interest,penalty,other,balance,avg_balance
1,42101000101,52,1985,2025,866606.43,96788.55,35545.76,30954.16,1029894.9,19805.67
2,42101000102,89,1978,2025,524935.67,119437.96,19093.59,76107.04,739574.26,8309.82
3,42101000200,35,2020,2025,859308.69,103068.4,39420.52,50726.91,1052524.52,30072.13
4,42101000300,20,1982,2025,553206.8,94825.07,22884.9,5126.52,676043.29,33802.16
5,42101000401,94,1986,2025,842528.2,72589.13,33157.43,20942.12,969216.88,10310.82
6,42101000403,11,2018,2025,213531.56,33464.15,11330.34,31896.75,290222.8,26383.89
7,42101000404,8,2020,2025,273928.92,13536.41,7939.11,2939.57,298344.01,37293
8,42101000500,12,1978,2025,230495.63,71428.98,3996.17,7639.53,313560.31,26130.03
9,42101000600,17,2020,2025,503642.76,40321.23,17833.43,20927.24,582724.66,34277.92
10,42101000701,14,2022,2025,111264.83,9740.15,4456.67,6093.14,131554.79,9396.77
11,42101000702,12,2009,2025,114910.45,7684.87,3671.3,6754.95,133021.57,11085.13
12,42101000801,19,2019,2025,135944.84,10234.14,3451.01,4715.66,154345.65,8123.46
13,42101000803,61,2010,2025,460807.66,32336.95,15939.47,31970.36,541054.44,8869.74
14,42101000805,26,1998,2025,479476.41,31186.85,10663.49,8798.22,530124.97,20389.42
15,42101000806,32,2019,2025,215115.56,16004.36,7764.46,17533.2,256417.58,8013.05
16,42101000901,37,1978,2025,1093619.97,66185.36,43027.03,11705.47,1214537.83,32825.35
17,42101000902,20,1985,2025,231574.14,9654.11,4503.75,13585.64,259317.64,12965.88
18,42101001001,46,1998,2025,338987.11,9390.71,6035.37,10263.69,364676.88,7927.76
19,42101001002,79,1981,2025,807979.13,65702.63,23890.8,65173.83,962746.39,12186.66
20,42101001101,96,1997,2025,726836.01,66666.54,29017.56,43026.38,865546.49,9016.11
21,42101001102,24,2003,2025,156133.45,10555.83,4932.34,17123.49,188745.11,7864.38
22,42101001201,44,2011,2025,543695.61,78991.58,28061.01,37006.45,687754.65,15630.79
23,42101001203,11,2023,2025,135489.98,4516.16,2965.73,6005.89,148977.76,13543.43
24,42101001204,45,2014,2025,1332429.08,84539.45,49452.87,22659.58,1489080.98,33090.69
25,42101001301,71,1995,2025,2104145.73,130774.7,72909.38,66943.75,2374773.56,33447.51
26,42101001302,108,1986,2025,727916.22,65302.91,14775.93,58108.41,866181.57,8020.2
27,42101001400,94,1982,2025,1126854.21,95533.55,29558.3,79360.73,1331306.79,14162.84
28,42101001500,75,1982,2025,1263985.71,180811.74,45493.86,104408.97,1594700.28,21262.67
29,42101001600,57,1979,2025,515134.54,23111.09,8612.32,20788.87,567646.82,9958.72
30,42101001700,47,2007,2025,635714.26,68617.06,21476.71,28434.88,754242.91,16047.72
31,42101001800,94,1983,2025,615797.44,135328.39,23522.65,63008.76,837657.24,8911.25
32,42101001900,93,1989,2025,1139805.93,122273.11,38394.42,81821.55,1382295.01,14863.39
33,42101002000,197,1978,2025,836864.67,115189.32,28176.63,158394.06,1138624.68,5779.82
34,42101002100,150,1997,2025,875555.47,93022.16,27370.88,101787.72,1097736.23,7318.24
35,42101002200,126,1984,2025,766271.91,95420.24,22876.87,102160.92,986729.94,7831.19
36,42101002300,49,1989,2025,349136.32,89486.11,10339.9,20545.82,469508.15,9581.8
37,42101002400,125,1983,2025,659264.72,88183.51,20872.69,67616.26,835937.18,6687.5
38,42101002500,92,1978,2025,815412.93,120856.43,22881.99,90589.34,1049740.69,11410.22
39,42101002701,98,1991,2025,617528.4,48267.64,18559.5,64218.05,748573.59,7638.51
40,42101002702,117,1997,2025,483854.41,46888,16147.98,55670.5,602560.89,5150.09
41,42101002801,74,1992,2025,661099.81,44358.95,15507.9,69654.52,790621.18,10684.07
42,42101002802,92,2000,2025,872748.43,86542.56,22961.62,61646.97,1043899.58,11346.73
