objectid,zip_code,num_props,min_period,max_period,principal,interest,penalty,other,balance,avg_balance
1,19102,66,2018,2025,2004180.23,184712.09,89552.27,62057.04,2340501.63,35462.15
2,19103,277,1982,2025,2985041.93,258806.32,95416.29,101467.43,3440731.97,12421.42
3,19104,1939,1978,2025,12275185.84,2163282.9,460444.72,1826613.45,16725526.91,8625.85
4,19106,276,1978,2025,2851288.58,336901.58,95857.08,199545.53,3483592.77,12621.71
5,19107,219,1978,2025,4326700.84,393287.04,163510.12,169481.48,5052979.48,23072.97
6,19111,844,1988,2025,3954054.1,549298.4,117399.36,550868.67,5171620.53,6127.51
7,19112,6,2011,2025,208489.2,38547.29,8488.92,7234.74,262760.15,43793.36
8,19114,368,1986,2025,2484289.94,426973.59,83086.9,292064.13,3286414.56,8930.47
9,19115,383,1978,2025,1936475.13,265558.07,51856.96,260950.52,2514840.68,6566.16
10,19116,278,1979,2025,2136727.43,308624.67,70191.75,246594.32,2762138.17,9935.75
11,19118,124,2008,2025,2429686.98,281326.74,92686.24,107203.54,2910903.5,23475.03
12,19119,872,1978,2025,6539171.46,969414.18,178991.82,760459.58,8448037.04,9688.12
13,19120,1913,1978,2025,7807238.76,1526144.63,288066.5,1537020.41,11158470.3,5832.97
14,19121,2969,1978,2025,12437099.82,2783959.88,524752.62,3047106.02,18792918.92,6329.71
15,19122,1330,1978,2025,7470140.38,1171414.24,253040.53,1409320.49,10307213.67,7749.78
16,19123,580,1978,2025,6927166.17,798136.94,225924.12,494177.26,8445404.49,14561.04
17,19124,2340,1978,2025,9193310.23,2447653.17,381987.49,2168307.59,14191258.48,6064.64
18,19125,1200,1978,2025,6709719.96,766740.75,211762.79,853671.95,8542351.66,7118.63
19,19126,553,1979,2025,3448514.89,591188.14,89119.68,479883.91,4608706.62,8334.01
20,19127,185,1978,2025,1154859.46,320776.67,48323.52,220756.41,1744716.06,9430.9
21,19128,525,1978,2025,3697502.13,674053.24,116136.53,518110.57,5005802.47,9534.86
22,19129,346,1978,2025,2335258.98,496383.47,90150.91,416423.75,3338217.11,9648.03
23,19130,445,1978,2025,4797271.23,525193.52,143840.37,316651.24,5783880.55,12997.48
24,19131,2640,1978,2025,10578889.76,2989248.46,407842.66,2442892.65,16418873.53,6219.27
25,19132,6089,1978,2025,17892608.29,9140994.45,916391.23,7848635.05,35798875.5,5879.27
26,19133,3802,1978,2025,9335325.67,3148050.61,443898.54,4094218.63,17021493.45,4476.98
27,19134,4337,1978,2025,13468271.83,3474094.58,564657.76,3730059.66,21237677.65,4896.86
28,19135,708,1990,2025,2906671.04,461886.67,98363.48,495845.38,3962766.57,5597.13
29,19136,513,1989,2025,2486042.15,404053.93,86257.17,384940.12,3361397.67,6552.43
30,19137,382,1989,2025,2675751.59,451978.83,79737.44,387675.54,3595143.4,9411.37
31,19138,2038,1978,2025,10285095.84,2666470.18,340395.66,2066144.9,15358106.58,7535.87
32,19139,3304,1978,2025,12876412.96,3549069.86,538274.41,3189969.18,20153726.41,6099.8
33,19140,5557,1977,2025,18205592.92,6899408.03,892844.24,5920371.93,31918217.12,5743.79
34,19141,1719,1978,2025,7920805.53,1906958.9,282891.45,1686091.75,11796747.63,6862.56
35,19142,1804,1978,2025,5960925.13,2229283.44,295786.62,2030273.18,10516317.33,5829.44
36,19143,4635,1978,2025,19497557.81,4552499.49,722502.26,4235101.41,29008169.2,6258.5
37,19144,2247,1978,2025,11370384.12,3443782.53,434245.98,2576447.77,17825574.41,7933.05
38,19145,1435,1978,2025,8896735.72,1049658.38,302681.51,1079610.07,11328685.68,7894.55
39,19146,1868,1978,2025,12164373.49,1420902.67,414304.87,1507938.9,15507598.03,8301.71
40,19147,772,1978,2025,7617558.49,927283.26,233752.47,551678.6,9330272.82,12085.85
41,19148,1322,1982,2025,7781066.68,795184.2,228690.65,900540.72,9705482.25,7341.51
42,19149,659,1988,2025,2697586.36,400667.28,90641.39,429979.57,3618874.6,5491.46
43,19150,886,1978,2025,5616416.75,495645.09,121525.03,627201.83,6860788.7,7743.55
44,19151,1213,1982,2025,6198120.62,1175210.47,209274.95,1117415.69,8700021.73,7172.32
45,19152,359,1997,2025,2321795.54,162248.81,49427.54,239830.64,2773302.53,7725.08
46,19153,336,1978,2025,1787564.59,273709.38,63304.3,294127.48,2418705.75,7198.53
47,19154,353,1978,2025,3018886.43,464442.82,87418.7,286153.03,3856900.98,10926.07
48,Other/Unidentified,79,1978,2025,217991.45,195275.84,12606.52,67684.29,493558.1,6247.57
